BS;BS;BS
BS+;;BS+
BSA;BSA;BSA
BSA+;;BSA+
MS;MS;MS
MS+;;MS+
MSA;MSA;MSA
MSA+;;MSA+
OS;OS;OS
OS+;;OS+
OSA;OSA;OSA
OSA+;ESA;OSA+
