Accettabili;Accettabile;Accettabili
Buone;Consigliabile;Buone
Discrete;;Discrete
Eccellenti;Stupendo;Eccellenti
Mediocri;;Mediocri
Ottime;;Ottime
Pessime;Sconsigliabile;Pessime
